Airport Code,Airport Name
ATL,Hartsfield-Jackson Atlanta
BWI,Baltimore-Washington
BOS,Boston Logan
CLT,Charlotte Douglas
MDW,Chicago Midway
ORD,Chicago O'Hare
DAL,Dallas Love Field
DFW,Dallas/Fort-Worth
DEN,Denver
DTW,Detroit Metropolitan
FLL,Fort Lauderdale - Hollywood
IAH,George Bush Houston
LAS,McCarran Las Vegas
LAX,Los Angeles
MIA,Miami
MSP,Minneapolis - Saint Paul
JFK,John F. Kennedy New York
LGA,LaGuardia New York
EWR,Newark Liberty
MCO,Orlando
PHL,Philadelphia
PHX,Phoenix Sky Harbor
PDX,Portland
SLC,Salt Lake City
SAN,San Diego
SFO,San Francisco
SEA,Seattle - Tacoma
TPA,Tampa
DCA,Ronald Reagan Washington
IAD,Washington Dulles
